,Title,Release time,Age rating,Runtime,Genre,Lanuage,Awards,Metascore,IMDb Rating,IMDb Votes,Domestic Revenue
219,Lover Stalker Killer,09 Feb 2024,R,1h 30min,"Documentary, Crime",English,N/A,N/A,7.0,"12,108",N/A
220,The Caregiver,11 May 2023,R,1h 25min,"Drama, Horror, Thriller",English,3 wins & 3 nominations,N/A,3.1,235,N/A
221,Night Shoot,03 Apr 2024,PG-13,1h 38min,"Horror, Thriller",English,N/A,N/A,N/A,24,N/A
222,Blackest Darkness,01 May 2024,R,1h 15min,"Drama, Horror",English,N/A,N/A,N/A,12,N/A
223,CHUM!,15 Jan 2024,R,1h 8min,Horror,English,N/A,N/A,N/A,N/A,N/A
224,Monster Mash,05 Apr 2024,PG-13,1h 30min,Horror,English,N/A,N/A,3.5,335,N/A
225,City of Dreams,30 Aug 2024,R,1h 54min,"Drama, Thriller","English, Spanish",N/A,N/A,7.0,565,"$1,713,366"
226,Dance of Death,17 Jul 2024,NC-17,1h 13min,Drama,N/A,N/A,N/A,N/A,N/A,N/A
227,Problematic Intentions,06 May 2023,NC-17,1h 30min,"Horror, Thriller",N/A,N/A,N/A,N/A,N/A,N/A
228,Love Over Money,10 Jun 2024,G,1h 41min,Documentary,English,N/A,N/A,9.1,29,N/A
229,America's Forgotten 2,2024,NC-17,1h 22min,Documentary,N/A,N/A,N/A,N/A,N/A,N/A
230,Terror House,01 Aug 2024,R,1h 30min,Thriller,N/A,N/A,N/A,N/A,N/A,N/A
231,The Private Eye,09 Feb 2024,R,1h 55min,"Comedy, Mystery, Romance",English,N/A,N/A,7.1,105,N/A
232,Junebug,03 Aug 2024,G,1h 24min,Romance,English,N/A,N/A,6.6,732,N/A
233,Campfire Dead by Dawn,24 May 2024,NC-17,1h 26min,Horror,English,N/A,N/A,3.1,37,N/A
234,New Man Pending,01 Apr 2024,PG-13,1h 13min,Drama,N/A,N/A,N/A,N/A,N/A,N/A
235,Secrets of the Neanderthals,02 May 2024,PG,1h 20min,Documentary,"English, Kurdish",1 win,N/A,6.4,"2,232",N/A
236,Adam Cayton-Holland: Wallpaper,18 Jan 2024,R,50min,Comedy,N/A,N/A,N/A,N/A,9,N/A
237,The Moon & Back,23 Apr 2024,PG-13,1h 14min,Comedy,English,1 win,N/A,5.3,276,N/A
238,The Girl Who Wasn't Dead,05 Oct 2024,PG,1h 26min,Horror,English,N/A,N/A,5.7,45,N/A
239,House of Spoils,03 Oct 2024,R,1h 41min,"Horror, Thriller",English,N/A,N/A,4.9,"1,952",N/A
240,Gladiator II,22 Nov 2024,PG,1h 26min,"Action, Adventure, Drama",English,N/A,N/A,N/A,N/A,N/A
241,Hunter of the Night,28 Apr 2024,R,1h 30min,Horror,English,N/A,N/A,N/A,26,N/A
242,Scouting for Christmas,20 Oct 2024,G,1h 24min,Comedy,N/A,N/A,N/A,N/A,N/A,N/A
243,The Casagrandes Movie,22 Mar 2024,PG,1h 25min,"Animation, Adventure, Comedy","English, Spanish",3 nominations,N/A,5.6,577,N/A
244,Untamed Royals,28 Aug 2024,R,1h 39min,"Crime, Drama",Spanish,N/A,N/A,4.5,522,N/A
245,Nelma Kodama: The Queen of Dirty Money,06 Jun 2024,R,1h 35min,"Documentary, Crime",Portuguese,N/A,N/A,N/A,160,N/A
246,Sugarcane,20 Sep 2024,R,1h 47min,Documentary,"English, French",9 wins & 11 nominations,N/A,7.7,199,"$107,228"
247,The Apocalypse Box,01 Aug 2024,R,1h 25min,"Horror, Mystery, Thriller",English,N/A,N/A,3.2,175,N/A
248,Villains Inc,19 Apr 2024,PG-13,1h 42min,Comedy,English,4 wins & 3 nominations,N/A,5.8,181,N/A
249,Beauty and the Billionaire: Bali,05 Jul 2024,PG,1h 31min,"Drama, Romance",English,N/A,N/A,6.2,10,N/A
250,The Jane Mysteries: A Deadly Prescription,10 Sep 2024,G,1h 24min,Mystery,English,N/A,N/A,5.8,209,N/A
251,Treasure,12 Sep 2024,R,1h 51min,"Comedy, Drama","English, Polish",N/A,N/A,6.2,"1,287","$541,578"
252,And Mrs,25 Sep 2024,R,1h 51min,Comedy,N/A,N/A,N/A,5.9,165,N/A
253,The Actor,02 Apr 2024,PG-13,2h 0min,"Action, Comedy, Crime",English,N/A,N/A,8.7,459,N/A
254,The Killer I Picked Up,13 Oct 2024,PG,1h 30min,Thriller,English,N/A,N/A,6.0,36,N/A
255,Meanwhile on Earth,03 Jul 2024,R,1h 29min,"Adventure, Drama, Sci-Fi",French,3 nominations,N/A,6.2,268,N/A
256,Sacred Soil: The Piney Woods School Story,23 Feb 2024,PG,1h 44min,Documentary,English,N/A,N/A,N/A,57,N/A
257,Hi Anokhi Gaath,01 Mar 2024,PG,2h 5min,Romance,Marathi,N/A,N/A,6.6,63,N/A
258,My Spy The Eternal City,18 Jul 2024,PG-13,1h 52min,"Action, Comedy",English,N/A,N/A,5.6,"9,394",N/A
259,Hellboy: The Crooked Man,08 Oct 2024,R,1h 39min,"Action, Horror",English,N/A,N/A,4.5,"7,605",N/A
260,My Hero Academia: You're Next,11 Oct 2024,PG-13,1h 50min,"Animation, Action, Sci-Fi",Japanese,N/A,N/A,7.0,"1,163","$5,012,216"
261,Outside,17 Oct 2024,R,2h 11min,"Horror, Thriller",Filipino,1 nomination,N/A,N/A,N/A,N/A
262,Strawberry Shortcake's Summer Vacation,01 Jun 2024,G,44min,Animation,English,N/A,N/A,N/A,16,N/A
263,That Christmas,04 Dec 2024,PG,1h 35min,"Animation, Adventure, Comedy",English,N/A,N/A,8.1,54,N/A
264,Queer,13 Feb 2025,R,2h 15min,"Biography, Drama, History","English, Spanish",2 nominations,N/A,6.2,802,N/A
265,Trouble,03 Oct 2024,R,1h 38min,"Action, Comedy, Crime",Swedish,N/A,N/A,6.1,"1,089",N/A
266,Thelma,21 Jun 2024,PG-13,1h 38min,"Action, Comedy",English,5 wins & 2 nominations,N/A,7.0,"11,986","$9,000,515"
267,The Greatest Night in Pop,29 Jan 2024,PG-13,1h 37min,"Documentary, Music",English,Nominated for 3 Primetime Emmys. 4 nominations total,N/A,7.9,"13,062",N/A
268,The Lord of the Rings: The War of the Rohirrim,13 Dec 2024,PG-13,2h 10min,"Animation, Action, Adventure",English,N/A,N/A,N/A,N/A,N/A
269,Canary Black,24 Oct 2024,R,1h 41min,"Action, Drama",English,N/A,N/A,5.3,"4,244",N/A
270,Blitz,01 Nov 2024,PG-13,2h 0min,"Action, Drama, History",English,1 nomination,N/A,6.8,423,N/A
271,Suncoast,09 Feb 2024,R,1h 49min,Drama,English,1 win & 1 nomination,N/A,6.7,"6,445",N/A
272,Weekend in Taipei,08 Nov 2024,R,1h 40min,"Action, Thriller","English, Mandarin",N/A,N/A,5.8,461,N/A
273,The Courier,10 May 2024,R,1h 41min,"Crime, Drama, Thriller",Spanish,N/A,N/A,6.0,"3,772",N/A
274,Spellbound,22 Nov 2024,PG,1h 49min,"Animation, Adventure, Comedy",English,N/A,N/A,N/A,N/A,N/A
275,The Walking Dead: The Return,15 Feb 2024,R,40min,Documentary,English,N/A,N/A,8.4,100,N/A
276,Bull Street,07 Jun 2024,R,1h 58min,Drama,English,N/A,N/A,9.4,11,N/A
277,Hoy Maharaja,31 May 2024,PG-13,2h 20min,Mystery & Thriller,Marathi,N/A,N/A,9.6,741,N/A
278,Your Monster,25 Oct 2024,R,1h 44min,"Comedy, Horror, Romance",English,3 wins & 3 nominations,N/A,N/A,286,N/A
279,The 4:30 Movie,01 Oct 2024,R,1h 28min,Comedy,English,N/A,N/A,6.0,"1,621",N/A
280,Loop,11 Jun 2024,PG-13,1h 42min,Drama,Hindi,N/A,N/A,N/A,N/A,N/A
281,The Most Expensive Wine in the World,01 Jan 2024,G,51min,Documentary,English,N/A,N/A,N/A,N/A,N/A
282,The Case for Heaven,04 Apr 2022,PG,1h 55min,Documentary,English,N/A,N/A,5.8,133,N/A
283,Hellhound,12 Jan 2024,R,1h 43min,"Action, Crime, Thriller",English,N/A,N/A,4.3,394,N/A
284,Billy & Molly: An Otter Love Story,06 May 2024,G,1h 17min,Documentary,English,2 nominations,N/A,8.0,"1,033",N/A
285,Rob Peace,16 Aug 2024,R,2h 0min,"Biography, Drama","English, Portuguese",N/A,N/A,6.3,689,"$383,520"
286,Twilight of the Warriors: Walled In,01 May 2024,R,2h 5min,"Action, Crime, Thriller","Cantonese, Mandarin",5 wins & 1 nomination,N/A,7.1,"5,106","$336,023"
287,Ride,14 Jun 2024,R,1h 48min,"Crime, Drama",English,2 wins,N/A,5.9,220,N/A
288,Sector 36,13 Sep 2024,R,2h 4min,Thriller,Hindi,N/A,N/A,7.2,"21,421",N/A
289,Half Baked: Totally High,16 Apr 2024,R,1h 37min,Comedy,English,N/A,N/A,4.7,262,N/A
290,Not Another Church Movie,10 May 2024,R,1h 30min,Comedy,English,N/A,N/A,2.2,"1,001","$576,243"
291,Elevation,07 Nov 2024,R,1h 31min,"Action, Sci-Fi, Thriller",N/A,N/A,N/A,N/A,N/A,N/A
292,Demetri Martin: Demetri Deconstructed,02 Apr 2024,R,51min,"Documentary, Comedy",English,N/A,N/A,6.8,479,N/A
293,Steve Trevino: Simple Man,12 Mar 2024,R,56min,Comedy,English,N/A,N/A,6.3,208,N/A
294,Sit Down with Stand Up Udom Taephanich,26 Jan 2024,PG-13,2h 4min,"Talk-Show, Comedy",Thai,N/A,N/A,N/A,46,N/A
295,Arthur the King,15 Mar 2024,PG-13,1h 47min,"Adventure, Drama, Sport",English,1 win,N/A,7.0,"26,914","$25,049,006"
296,Touch,29 May 2024,R,2h 1min,"Drama, Romance","English, Japanese, Icelandic",N/A,N/A,7.4,"3,039","$1,102,600"
297,"Deon Cole: Ok, Mister",17 Sep 2024,R,1h 5min,Comedy,N/A,N/A,N/A,6.2,267,N/A
298,Stockholm Bloodbath,18 Jan 2024,R,2h 25min,"Action, Comedy, History",English,N/A,N/A,4.6,"1,073",N/A
299,Lisa Frankenstein,09 Feb 2024,PG-13,1h 41min,"Comedy, Horror, Romance",English,2 nominations,N/A,6.1,"23,427","$9,774,285"
300,Monkey Man,05 Apr 2024,R,2h 1min,"Action, Crime, Thriller","English, Hindi",3 wins & 2 nominations,N/A,6.9,"76,223","$25,116,955"
301,Housekeeping for Beginners,18 Jul 2024,R,1h 47min,"Comedy, Drama","Macedonian, Romany, Albanian, French",9 wins & 7 nominations,N/A,7.0,970,"$271,065"
302,Better Man,17 Jan 2025,R,2h 15min,"Biography, Drama, Music",English,N/A,N/A,N/A,174,N/A
303,The Trust Fall,13 Mar 2024,R,2h 8min,Documentary,English,N/A,N/A,7.5,136,N/A
304,Red One,15 Nov 2024,PG-13,2h 3min,"Action, Adventure, Comedy",English,N/A,N/A,N/A,N/A,N/A
305,Big City Greens the Movie: Spacecation,07 Jun 2024,PG,1h 22min,"Animation, Action, Adventure",English,N/A,N/A,6.3,414,N/A
306,Aiden,30 Sep 2024,PG-13,1h 10min,"Horror, Sci-Fi, Thriller",English,N/A,N/A,N/A,N/A,N/A
307,Jack Whitehall: Settle Down,30 Jan 2024,R,1h 5min,"Documentary, Comedy",English,N/A,N/A,6.5,850,N/A
308,Red Right Hand,23 Feb 2024,R,1h 51min,"Action, Thriller",English,N/A,N/A,5.4,"4,822","$35,368"
309,Out of Darkness,09 Feb 2024,R,1h 27min,"Horror, Thriller","English, Aboriginal",1 win & 8 nominations,N/A,5.5,"6,032","$1,951,547"
310,Love at Mariposa Beach,2024,PG-13,1h 29min,"Comedy, Romance","English, Spanish",N/A,N/A,5.7,62,N/A
311,Tarot,03 May 2024,PG-13,1h 32min,Horror,English,N/A,N/A,4.8,"25,307","$18,771,004"
312,Dragonkeeper,03 May 2024,PG,1h 39min,"Animation, Adventure, Fantasy","English, Chinese, Spanish",2 nominations,N/A,5.7,"1,224","$805,091"
313,Accidental Texan,08 Mar 2024,PG-13,1h 44min,"Comedy, Drama",N/A,3 wins & 3 nominations,N/A,5.8,636,"$292,687"
314,What About Love,14 Feb 2024,PG-13,1h 54min,"Drama, Romance","English, Spanish",N/A,N/A,N/A,46,N/A
315,Mike Epps: Ready to Sell Out,20 Feb 2024,R,1h 1min,"Documentary, Comedy",English,N/A,N/A,5.4,342,N/A
316,Challengers,26 Apr 2024,R,2h 12min,"Comedy, Drama, Romance","English, Romanian",8 wins & 8 nominations,N/A,7.1,"112,709","$50,119,408"
317,Kill Em All 2,24 Sep 2024,R,1h 25min,Action,English,N/A,N/A,3.9,822,N/A
318,Moana 2,27 Nov 2024,PG,1h 40min,"Animation, Adventure, Comedy",English,N/A,N/A,N/A,N/A,N/A
319,Bob Marley: One Love,14 Feb 2024,PG-13,1h 44min,"Biography, Drama, Music",English,1 win & 1 nomination,N/A,6.3,"31,048","$96,893,170"
320,Trap,02 Aug 2024,PG-13,1h 45min,"Crime, Horror, Mystery",English,1 win,N/A,6.0,"87,714","$42,777,281"
321,Furiosa: A Mad Max Saga,24 May 2024,R,2h 29min,"Action, Adventure, Sci-Fi",English,1 win & 20 nominations,N/A,7.5,"214,886","$67,475,791"
322,Float,09 Feb 2024,PG-13,1h 40min,"Drama, Romance",English,10 nominations,N/A,5.3,"1,483",N/A
323,Sharks vs Dolphins: Bahamas Battleground,02 Jul 2023,PG,44min,Documentary,N/A,N/A,N/A,N/A,18,N/A
324,The Ship Show,09 Aug 2023,PG,2h 2min,"Comedy, Romance","Tagalog, Filipino",N/A,N/A,N/A,136,N/A
325,Once Upon a Crime,14 Sep 2023,PG,1h 45min,"Adventure, Comedy, Crime",Japanese,N/A,N/A,5.3,"2,004",N/A
326,Man Suang,24 Aug 2023,PG-13,2h 8min,"Drama, History, Mystery",Thai,N/A,N/A,6.7,"2,039",N/A
327,The Juniors y La Fórmula Imperial,26 May 2023,PG,2h 10min,"Comedy, Fantasy, Sci-Fi",Spanish,N/A,N/A,N/A,N/A,N/A
328,The Weeknd: Live at SoFi Stadium,25 Feb 2023,R,1h 38min,Music,English,Nominated for 2 Primetime Emmys. 3 nominations total,N/A,7.9,580,N/A
329,The Jane Mysteries: Inheritance Lost,12 May 2023,PG,1h 24min,"Drama, Mystery, Romance",English,1 nomination,N/A,6.1,788,N/A
330,The Essential Church,28 Jul 2023,PG-13,2h 6min,"Documentary, Drama, History",English,N/A,N/A,5.7,339,"$412,550"
331,Rent-a-Man,20 Oct 2023,PG,1h 33min,"Crime, Drama, Mystery",English,18 wins,N/A,N/A,127,N/A
332,Mighty Morphin Power Rangers: Once & Always,19 Apr 2023,G,59min,"Action, Adventure, Drama",English,N/A,62,5.7,"6,573",N/A
333,Steppin' Into the Holiday,03 Dec 2023,G,1h 27min,"Comedy, Romance",English,N/A,N/A,6.5,785,N/A
334,"Miracle in Bethlehem, PA.",21 Dec 2023,PG,1h 24min,Romance,English,N/A,N/A,7.2,911,N/A
335,Dug Up,04 Dec 2023,R,1h 24min,"Comedy, Horror",English,N/A,N/A,6.5,292,N/A
336,Married by Mistake,05 Mar 2023,PG-13,1h 28min,"Comedy, Drama, Romance","English, Spanish",N/A,N/A,5.6,769,N/A
337,Rangoli,01 Sep 2023,G,2h 9min,"Drama, Family",Tamil,N/A,N/A,7.3,798,N/A
338,Saved from a Shark,02 Jul 2023,PG,45min,Documentary,N/A,N/A,N/A,N/A,31,N/A
339,Return of the White Shark,02 Jul 2023,PG,44min,Documentary,N/A,N/A,N/A,5.9,51,N/A
340,The Stalking Fields,17 Jan 2023,R,1h 30min,Action,N/A,N/A,N/A,N/A,128,N/A
341,Under the Influencer,12 Dec 2023,PG,1h 36min,"Comedy, Drama",English,N/A,N/A,7.8,71,N/A
342,Maya,25 Oct 2023,PG-13,1h 44min,Thriller,English,1 win,N/A,N/A,76,N/A
343,Christmas by Design,27 Oct 2023,G,1h 24min,"Comedy, Drama, Romance",English,N/A,N/A,6.2,807,N/A
344,Christmas of Yes,09 Dec 2023,PG,1h 24min,Romance,English,N/A,N/A,N/A,178,N/A
345,Orange Helmets in Turkey,23 Feb 2023,PG-13,47min,Documentary,"English, Dutch, Turkish",N/A,N/A,N/A,N/A,N/A
346,Dusk for a Hitman,19 Apr 2024,R,1h 30min,Crime,French,N/A,N/A,6.3,516,N/A
347,Women of the Jury,13 Oct 2023,R,1h 45min,Drama,English,N/A,N/A,4.8,46,N/A
348,The Idaho College Murders,12 Mar 2023,PG-13,42min,Crime,N/A,N/A,N/A,5.8,252,N/A
349,Just Jake,21 May 2023,G,1h 25min,Romance,N/A,N/A,N/A,6.6,307,N/A
350,761st Tank Battalion: The Original Black Panthers,20 Aug 2023,R,1h 24min,Documentary,English,1 nomination,N/A,8.4,70,N/A
351,Dada,10 Feb 2023,G,2h 15min,"Drama, Family, Romance","Tamil, Telugu",2 wins & 3 nominations,N/A,8.1,"6,562",N/A
352,Dean of the Dead Presents: Holiday Horrors,13 Oct 2023,R,1h 20min,Horror,English,1 nomination,N/A,N/A,N/A,N/A
353,Stamped from the Beginning,20 Nov 2023,R,1h 31min,Documentary,English,Nominated for 1 Primetime Emmy. 1 win & 10 nominations total,N/A,6.6,"1,366",N/A
354,Stand Up & Shout: Songs from a Philly High School,07 Nov 2023,PG,54min,Documentary,English,1 win,N/A,6.5,50,N/A
355,Lucky Louie,28 Apr 2023,PG,1h 48min,Family,English,N/A,N/A,8.0,48,N/A
356,A Royal Christmas Crush,08 Jul 2023,G,1h 24min,Romance,English,N/A,N/A,5.5,813,N/A
357,Homicide Hunter: The Man with No Face,08 Mar 2023,PG-13,1h 24min,Crime,English,N/A,N/A,N/A,73,N/A
358,Something's Brewing,25 Dec 2023,G,1h 29min,Romance,English,N/A,N/A,6.1,378,N/A
359,Burned by Love,15 Jan 2023,PG-13,1h 28min,Mystery,English,N/A,N/A,N/A,212,N/A
360,A Tourist's Guide to Love,21 Apr 2023,PG,1h 36min,"Adventure, Comedy, Romance","English, Vietnamese",1 nomination,49,5.8,"7,612",N/A
361,Mystery Island,29 Sep 2023,PG,1h 24min,Mystery,English,N/A,N/A,5.5,844,N/A
362,Metal Monsters: The Righteous Redeemer,30 Jul 2023,R,40min,"Documentary, Sport",English,N/A,N/A,N/A,42,N/A
363,Your Christmas or Mine 2,08 Dec 2023,PG-13,1h 39min,Comedy,English,N/A,N/A,5.8,"3,547",N/A
364,Pride from Above,02 Jun 2023,PG-13,45min,"Documentary, Short",English,N/A,N/A,N/A,73,N/A
365,Eye of the Storm,14 Apr 2023,PG-13,1h 58min,Drama,Mandarin,2 wins & 9 nominations,N/A,6.3,850,N/A
366,Bull Shark vs Hammerhead,02 Jul 2023,PG,44min,Documentary,N/A,N/A,N/A,N/A,32,N/A
367,10 Days of a Bad Man,18 Aug 2023,R,2h 4min,"Crime, Drama, Mystery",Turkish,N/A,N/A,6.1,"2,824",N/A
368,Heathers: The Musical,16 Sep 2022,R,2h 15min,"Comedy, Musical",English,N/A,N/A,7.6,"1,117",N/A
369,Long Way East,30 Nov 2023,PG,1h 15min,Adventure,Italian,N/A,N/A,N/A,7,N/A
370,Maggie Simpson in Rogue Not Quite One,04 May 2023,PG,5min,"Animation, Short, Action",English,N/A,N/A,5.6,873,N/A
371,The Shepherd,01 Dec 2023,PG,38min,"Short, Drama, Fantasy","English, German",N/A,N/A,6.2,"4,493",N/A
372,Queenmaker: The Making of an It Girl,17 May 2023,R,1h 24min,Documentary,English,N/A,N/A,4.4,393,N/A
373,Rebel Moon - Part One: A Child of Fire,21 Dec 2023,R,2h 13min,"Action, Adventure, Drama",English,2 wins & 3 nominations,N/A,5.6,"129,880",N/A
374,The Space Race,13 Feb 2024,PG-13,1h 31min,"Documentary, Biography",English,4 wins & 1 nomination,N/A,6.5,253,N/A
375,Society of the Snow,04 Jan 2024,R,2h 24min,"Adventure, Biography, Drama",Spanish,Nominated for 2 Oscars. 47 wins & 68 nominations total,N/A,7.8,"147,795",N/A
376,Tri Am the Movie: Nguoi Giu Thoi Gian,08 Apr 2023,PG,1h 46min,"Documentary, Biography, Music",Vietnamese,N/A,N/A,N/A,32,N/A
377,Publish or Perish,22 Feb 2023,R,1h 40min,Comedy,N/A,22 wins & 15 nominations,N/A,8.4,131,N/A
378,Rare Objects,14 Apr 2023,R,2h 3min,Drama,"English, Spanish",N/A,N/A,5.3,552,"$10,454"
379,Totally Killer,06 Oct 2023,R,1h 46min,"Comedy, Horror, Sci-Fi",English,1 win & 10 nominations,N/A,6.5,"56,587",N/A
380,The Killer,10 Nov 2023,R,1h 58min,"Action, Adventure, Crime",English,2 wins & 40 nominations,N/A,6.7,"198,546",N/A
381,Heaven Down Here,14 Dec 2023,PG,1h 24min,"Drama, Romance",English,1 win & 3 nominations,N/A,7.1,672,N/A
382,DID I?,12 Apr 2023,R,1h 40min,Thriller,N/A,3 wins,N/A,8.0,9,N/A
383,Straight Ruthless,2023,R,1h 5min,Drama,English,N/A,N/A,N/A,50,N/A
384,Air,05 Apr 2023,R,1h 54min,"Drama, Sport",English,5 wins & 47 nominations,73,7.4,"175,387","$52,460,106"
385,Summoning Sylvia,31 Mar 2023,R,1h 14min,"Comedy, Horror, Thriller",English,1 win & 2 nominations,N/A,5.3,"4,238","$52,663"
386,Bite the Dust,10 Sep 2023,PG-13,1h 44min,Western,English,N/A,N/A,3.8,126,N/A
387,V/H/S/94,06 Oct 2021,R,1h 43min,"Horror, Mystery, Thriller",English,1 win & 1 nomination,63,5.5,"14,081",N/A
388,A Little White Lie,03 Mar 2023,R,1h 41min,Comedy,English,N/A,42,5.8,"2,269",N/A
389,Unstoppable Me,28 Nov 2023,PG-13,55min,Documentary,English,N/A,N/A,N/A,N/A,N/A
390,Kevin Hart: Reality Check,06 Jul 2023,R,59min,Comedy,English,1 nomination,N/A,6.8,"1,194",N/A
391,Marlon Wayans: God Loves Me,02 Mar 2023,R,1h 0min,Comedy,English,2 nominations,N/A,6.6,723,N/A
392,Joyeux Noel,29 Oct 2023,G,1h 24min,Romance,"English, French",N/A,N/A,6.2,834,N/A
393,Christmas on Cherry Lane,09 Dec 2023,PG,1h 24min,Family,English,1 nomination,N/A,6.1,"1,113",N/A
394,Buddy Games: Spring Awakening,02 Jun 2023,R,1h 35min,Comedy,English,N/A,N/A,4.5,"1,363",N/A
395,Lair of the Killer Clowns,20 Feb 2023,R,1h 15min,Horror,English,N/A,N/A,2.6,75,N/A
396,Left Behind: Rise of the Antichrist,27 Apr 2023,PG-13,1h 55min,"Action, Drama, Mystery",English,N/A,N/A,4.5,"2,273","$3,649,422"
397,Borderline,22 Aug 2023,R,1h 23min,"Drama, Thriller","English, Danish",13 wins,N/A,4.9,119,N/A
398,A Biltmore Christmas,26 Nov 2023,G,1h 24min,"Fantasy, Romance","English, Japanese, Italian",1 nomination,N/A,7.9,"3,707",N/A
399,Gray Matter,13 Jul 2023,PG-13,1h 27min,"Drama, Sci-Fi, Thriller",English,1 nomination,N/A,4.9,"1,243",N/A
400,12 Desperate Hours,25 Feb 2023,PG-13,1h 28min,Thriller,English,N/A,N/A,5.0,259,N/A
401,Jonas Kaufmann & Ludovic Tezier in Baden-Baden,11 Jan 2023,G,48min,Music,German,N/A,N/A,N/A,N/A,N/A
402,Oracle,01 Oct 2023,R,1h 25min,Horror,English,N/A,N/A,4.7,"1,236",N/A
403,One with the Whale,17 Sep 2023,PG-13,1h 30min,Documentary,English,N/A,N/A,N/A,6,N/A
404,The Miracle Club,14 Jul 2023,PG-13,1h 30min,"Comedy, Drama",English,1 nomination,51,6.4,"6,134","$2,402,780"
405,Project CC,29 Sep 2023,PG,18min,Short,English,N/A,N/A,N/A,71,N/A
406,Yellow Door: '90s Lo-fi Film Club,27 Oct 2023,PG-13,1h 24min,Documentary,Korean,N/A,N/A,6.6,309,N/A
407,The Improv: 60 and Still Standing,07 Nov 2023,R,1h 20min,Comedy,English,N/A,N/A,N/A,245,N/A
408,Burqa,07 Apr 2023,G,1h 22min,Drama,Tamil,N/A,N/A,6.0,457,N/A
409,Hank and Jolene,01 Jan 2021,R,1h 19min,Comedy,"English, Japanese",N/A,N/A,N/A,N/A,N/A
410,A Zest for Death: A Hannah Swensen Mystery,06 Oct 2023,PG,1h 24min,Mystery,"English, French",N/A,N/A,6.9,523,N/A
411,The Hunger Games: The Ballad of Songbirds & Snakes,17 Nov 2023,PG-13,2h 37min,"Action, Adventure, Drama",English,7 wins & 21 nominations,N/A,6.7,"143,792","$166,350,594"
412,King of Killers,01 Sep 2023,R,1h 32min,"Action, Adventure, Crime",English,N/A,N/A,4.4,"1,567",N/A
413,Alien Apocalypse,03 Nov 2023,PG-13,1h 27min,"Action, Sci-Fi",English,N/A,N/A,3.4,167,N/A
414,Candy Cane Lane,01 Dec 2023,PG,1h 57min,"Comedy, Family, Fantasy",English,4 nominations,N/A,5.6,"20,576",N/A
415,100 Yards,20 Sep 2024,PG-13,1h 48min,"Action, Drama",Chinese,1 nomination,N/A,5.9,124,N/A
416,Saltburn,22 Dec 2023,R,2h 11min,"Drama, Thriller",English,Nominated for 5 BAFTA 14 wins & 102 nominations total,N/A,7.0,"227,099","$11,425,829"
417,The Bricklayer,05 Jan 2024,R,1h 50min,"Action, Thriller",English,N/A,N/A,5.2,"11,129",N/A
418,DogMan,05 Apr 2024,R,1h 55min,"Action, Crime, Drama","English, Spanish",1 win & 4 nominations,N/A,6.8,"16,400","$76,395"
419,Mayhem!,28 Jun 2023,R,1h 39min,"Action, Thriller","English, Thai, French",1 nomination,N/A,6.3,"2,337","$8,510"
420,The Good Mother,26 Jan 2024,R,1h 30min,"Crime, Drama, Mystery",English,N/A,N/A,4.7,"2,276","$503,378"
421,Aristotle and Dante Discover the Secrets of the Universe,08 Sep 2023,PG-13,1h 37min,Drama,"English, Spanish",1 win & 7 nominations,N/A,7.2,"2,586","$407,838"
422,Prisoner's Daughter,04 Jul 2023,R,1h 38min,Drama,English,N/A,48,6.4,"2,980",N/A
423,3 Days in Malay,11 Aug 2023,R,1h 39min,"Action, History, War",English,N/A,N/A,2.7,442,N/A
424,Stepping into Love,19 Aug 2023,G,1h 22min,"Comedy, Romance",English,N/A,N/A,5.8,166,N/A
425,Transfusion,20 Jan 2023,R,1h 45min,"Action, Crime, Drama",English,N/A,N/A,5.1,"3,292",N/A
426,Little Richard: I Am Everything,04 May 2023,R,1h 38min,"Documentary, Biography, History",English,6 wins & 27 nominations,79,7.4,"1,621","$131,490"
427,Oppenheimer,21 Jul 2023,R,3h 0min,"Biography, Drama, History","English, German, Italian",Won 7 Oscars. 349 wins & 359 nominations total,88,8.3,"804,987","$329,862,540"
428,The Blackening,16 Jun 2023,R,1h 37min,"Comedy, Horror, Mystery",English,1 win & 8 nominations,69,6.0,"20,801","$17,707,207"
429,On Fire,09 Nov 2023,PG-13,1h 20min,"Drama, Mystery, Thriller",English,N/A,N/A,5.2,"1,558","$205,118"
430,Heart of a Champion,21 Feb 2023,PG,1h 26min,"Drama, Family",English,N/A,N/A,5.6,153,N/A
431,The Canterville Ghost,22 Sep 2023,PG,1h 29min,"Animation, Comedy, Family","English, French",N/A,N/A,6.0,"1,346","$192,310"
432,Peter Pan & Wendy,28 Apr 2023,PG,1h 46min,"Adventure, Family, Fantasy",English,5 nominations,61,4.4,"28,559",N/A
433,A Paris Proposal,11 Feb 2023,G,1h 24min,"Comedy, Romance",English,N/A,N/A,6.4,985,N/A
434,Ferrari,25 Dec 2023,R,2h 11min,"Biography, Drama, History",English,Nominated for 1 BAFTA Award6 wins & 39 nominations total,N/A,6.4,"57,080","$18,550,028"
435,The Subtle Art of Not Giving a F*ck,04 Jan 2023,R,1h 37min,Documentary,English,1 win & 1 nomination,N/A,5.9,"1,942",N/A
436,Strange Way of Life,06 Oct 2023,R,31min,"Short, Drama, Western","Spanish, English",2 nominations,N/A,6.2,"10,939","$503,992"
