Title,Release time,Age rating,Runtime,Genre,Lanuage,Awards,Metascore,IMDb Rating,IMDb Votes,Domestic Revenue
Hostile Forces,25 Aug 2023,R,1h 49min,"Action, Drama, Thriller",English,N/A,N/A,4.5,148,N/A
Sam Jay: Salute Me or Shoot Me,23 Sep 2023,R,1h 0min,Comedy,English,1 nomination,N/A,N/A,126,N/A
Devil on My Doorstep,11 Nov 2023,PG-13,1h 28min,Thriller,English,N/A,N/A,5.1,226,N/A
Thaaram Theertha Koodaram,14 Apr 2023,G,2h 5min,"Drama, Romance",Malayalam,N/A,N/A,7.8,614,N/A
The Blessing Bracelet,09 Apr 2023,PG,1h 24min,"Drama, Family, Romance",English,N/A,N/A,6.9,869,N/A
Justice League x RWBY: Super Heroes and Huntsmen,2023,PG,2h 28min,"Animation, Action, Adventure",English,N/A,N/A,N/A,10,N/A
The Weapon,17 Feb 2023,R,1h 25min,"Action, Thriller",English,N/A,N/A,2.6,476,N/A
Outside,01 Jan 2023,R,1h 27min,"Short, Comedy",English,N/A,N/A,N/A,N/A,N/A
Casamento às Cegas Brasil: Depois do Altar,20 Dec 2023,R,1h 26min,Reality-TV,Portuguese,N/A,N/A,N/A,24,N/A
Cassandro,22 Sep 2023,R,1h 39min,"Biography, Drama, Sport","English, Spanish",2 wins & 13 nominations,81,6.5,"4,131",N/A
Devil Beneath,13 Jan 2023,PG-13,1h 26min,"Horror, Thriller",English,N/A,N/A,3.8,465,N/A
Invisible Beauty,29 Sep 2023,R,1h 55min,Documentary,Spanish,6 wins & 7 nominations,N/A,7.4,153,"$92,040"
The Gods 2: The Dark Side,22 Feb 2023,R,2h 4min,"Action, Crime, Thriller",English,N/A,N/A,9.5,64,N/A
True Haunting,06 Jan 2023,PG-13,2h 0min,Horror,N/A,N/A,N/A,N/A,N/A,N/A
The Hiding Place,16 Aug 2023,PG,2h 27min,Biography,English,N/A,N/A,7.6,74,N/A
Malice: Nu Gui,11 Jun 2023,R,47min,Horror,"English, Chinese",N/A,N/A,7.6,17,N/A
Lucky Man,01 Sep 2023,G,2h 14min,Comedy,Tamil,N/A,N/A,6.4,720,N/A
Christmas with a Kiss,03 Dec 2023,G,1h 24min,Romance,English,N/A,N/A,5.7,498,N/A
The Mill,09 Oct 2023,R,1h 46min,"Drama, Mystery, Sci-Fi",English,N/A,N/A,5.4,"3,415",N/A
Her Affair to Die For,23 Feb 2023,PG-13,1h 30min,Thriller,English,N/A,N/A,5.1,183,N/A
Checkin' It Twice,20 Oct 2023,G,1h 24min,"Comedy, Romance",English,N/A,N/A,6.9,"1,316",N/A
The Great Indian Family,22 Sep 2023,PG-13,1h 52min,Family,Hindi,N/A,N/A,5.6,"6,933",N/A
From Paris with Danger,19 Aug 2023,PG-13,1h 28min,"Adventure, Crime, Mystery",English,N/A,N/A,4.8,162,N/A
Coyote Cage,22 Sep 2023,R,1h 43min,"Drama, Horror, Thriller",English,N/A,N/A,7.7,97,N/A
Christmas Keepsake,11 Nov 2023,G,1h 25min,Romance,English,N/A,N/A,6.4,564,N/A
Trim Season,31 Mar 2023,R,1h 40min,"Horror, Thriller",English,N/A,N/A,4.6,448,N/A
King Jeff's Troubleshooters,15 Apr 2023,PG,1h 2min,Sci-Fi,English,N/A,N/A,N/A,N/A,N/A
Wil,31 Jan 2024,R,1h 54min,"Drama, History, War","Flemish, German, French",6 wins & 9 nominations,N/A,6.9,"5,922",N/A
Murder Mystery 2,31 Mar 2023,PG-13,1h 31min,"Action, Adventure, Comedy",English,1 win,44,5.7,"72,786",N/A
Mystic Christmas,28 Oct 2023,G,1h 24min,Romance,"English, Icelandic",N/A,N/A,6.4,975,N/A
Diary of a Wimpy Kid Christmas: Cabin Fever,08 Dec 2023,PG,1h 4min,"Animation, Adventure, Comedy",English,N/A,N/A,5.8,"1,390",N/A
The Lovers,14 Jul 2023,R,1h 10min,"Drama, Romance",English,N/A,N/A,N/A,N/A,N/A
Happy Ending,01 Sep 2023,R,1h 33min,"Comedy, Romance",Dutch,N/A,N/A,5.4,"1,980",N/A
Death's Roulette,05 May 2023,R,1h 30min,"Drama, Mystery, Thriller",Spanish,1 nomination,N/A,5.5,"1,939",N/A
A Lifelong Love,21 Jul 2023,G,1h 24min,Romance,English,N/A,N/A,5.6,478,N/A
RWBY: Volume 9,18 Feb 2023,PG,3h 0min,Animation,English,N/A,N/A,8.0,52,N/A
Scarygirl,26 Oct 2023,PG,1h 30min,"Animation, Adventure, Fantasy",English,1 win & 9 nominations,N/A,5.3,579,N/A
Do Not Disturb,29 Sep 2023,R,1h 54min,"Comedy, Drama",Turkish,3 nominations,N/A,6.3,"10,587",N/A
Once Upon a Studio,13 Oct 2023,G,9min,"Animation, Short, Comedy",English,1 nomination,N/A,8.3,"7,259",N/A
Christmas Island,11 Nov 2023,G,1h 24min,Romance,English,1 win & 2 nominations,N/A,6.7,"1,448",N/A
In Dreams,17 Jan 2023,R,1h 22min,Thriller,English,N/A,N/A,4.4,155,N/A
The Activated Man,02 Nov 2023,R,1h 55min,Thriller,English,38 wins & 1 nomination,N/A,7.3,"1,397",N/A
Medusa Deluxe,11 Aug 2023,R,1h 41min,"Drama, Mystery",English,2 wins & 8 nominations,N/A,6.1,"2,041",N/A
A Creature Was Stirring,12 Dec 2023,R,1h 36min,Horror,English,N/A,N/A,4.6,825,N/A
Sathiya Sodhanai,21 Jul 2023,G,1h 49min,Comedy,Tamil,N/A,N/A,5.5,181,N/A
Rock Hudson: All That Heaven Allowed,28 Jun 2023,PG-13,1h 45min,Documentary,English,Nominated for 1 Primetime Emmy. 5 nominations total,71,7.3,"1,491",N/A
Under the Sky of Damascus,20 Feb 2023,PG-13,1h 28min,Documentary,Arabic,3 wins & 2 nominations,N/A,N/A,66,N/A
Nandor Fodor and the Talking Mongoose,19 Sep 2023,PG-13,1h 36min,"Comedy, Mystery",English,N/A,N/A,5.4,"2,513",N/A
The Netflix Cup,14 Nov 2023,PG-13,2h 35min,"Game-Show, Reality-TV, Sport",English,N/A,N/A,3.5,125,N/A
Bezos,24 Jan 2023,R,1h 34min,"Biography, Drama, History",English,N/A,N/A,4.3,"2,881",N/A
They Shot the Piano Player,06 Oct 2023,PG-13,1h 44min,"Animation, Drama, History","Spanish, Portuguese, English",10 nominations,N/A,6.6,756,"$59,587"
Mystery on the Cattle Hill Express,03 Mar 2023,PG,1h 10min,"Animation, Action, Adventure",Norwegian,N/A,N/A,5.0,66,N/A
The Swan Princess: A Fairytale Is Born,23 May 2023,PG,1h 28min,"Animation, Adventure, Comedy",English,N/A,N/A,N/A,88,N/A
Space Pups,16 May 2023,G,1h 33min,"Adventure, Family, Sci-Fi",English,N/A,N/A,4.9,317,N/A
Willow: Behind the Magic,25 Jan 2023,PG-13,33min,"Documentary, Short",English,N/A,N/A,6.7,170,N/A
"3 Bed, 2 Bath, 1 Ghost",07 Oct 2023,G,1h 24min,"Comedy, Drama, Family","English, Spanish",4 nominations,N/A,7.1,"1,586",N/A
Fanfic,17 May 2023,NC-17,1h 35min,Drama,Polish,N/A,N/A,5.8,"1,262",N/A
Long Live Love!,29 Jun 2023,R,2h 15min,"Comedy, Drama, Romance",Thai,N/A,N/A,6.5,"1,872",N/A
The Evils Surrounding Elvis,2023,PG,1h 20min,Documentary,English,N/A,N/A,N/A,15,N/A
True Spirit,03 Feb 2023,PG,1h 49min,"Adventure, Biography, Drama",English,2 nominations,50,6.8,"10,895",N/A
Sniper: G.R.I.T. - Global Response & Intelligence Team,26 Sep 2023,R,1h 32min,Action,English,N/A,N/A,5.1,"1,319",N/A
Chicken Run: Dawn of the Nugget,15 Dec 2023,PG,1h 41min,"Animation, Adventure, Comedy",English,Nominated for 1 BAFTA Award1 win & 9 nominations total,N/A,6.4,"24,913",N/A
TLC Forever,03 Jun 2023,PG-13,2h 0min,"Documentary, Biography, Music",English,1 nomination,N/A,N/A,297,N/A
Code Red,01 Jun 2023,G,46min,Crime,Hindi,N/A,N/A,N/A,N/A,N/A
Dear David,09 Feb 2023,PG-13,1h 58min,"Comedy, Drama, Fantasy",Indonesian,N/A,N/A,5.7,987,N/A
In the Name of Gerry Conlon,15 Jun 2022,R,57min,Documentary,English,1 win,N/A,N/A,45,N/A
85 South: Ghetto Legends,20 Jun 2023,R,1h 0min,Comedy,English,N/A,N/A,3.9,180,N/A
Zom 100: Bucket List of the Dead,03 Aug 2023,R,2h 9min,"Action, Comedy, Fantasy",Japanese,1 nomination,N/A,5.5,"6,832",N/A
Warrior Strong,29 Sep 2023,PG-13,1h 38min,"Drama, Sport",English,2 nominations,N/A,5.5,237,N/A
Justice League: Warworld,25 Jul 2023,R,1h 30min,"Animation, Action, Adventure",English,1 nomination,N/A,5.3,"4,883",N/A
The Blind,28 Sep 2023,PG-13,1h 48min,Drama,English,2 nominations,N/A,6.1,"2,233","$17,265,487"
Race to the Summit,04 Oct 2023,PG-13,1h 30min,"Documentary, Adventure, Sport",German,1 nomination,N/A,6.8,"1,391",N/A
Anthem,28 Jun 2023,PG,1h 38min,"Documentary, Music",English,N/A,N/A,3.9,155,N/A
Two Sinners and a Mule,21 Apr 2023,R,1h 37min,Western,English,N/A,N/A,3.6,278,N/A
The Resurrection of Charles Manson,16 Mar 2023,R,1h 18min,"Horror, Thriller",English,N/A,N/A,3.2,404,N/A
Ant-Man and the Wasp: Quantumania,17 Feb 2023,PG-13,50min,"Action, Adventure, Comedy",English,13 nominations,48,6.0,"239,427","$214,504,909"
Unknown: Killer Robots,10 Jul 2023,PG-13,1h 59min,Documentary,English,N/A,N/A,6.4,"1,284",N/A
A Cat's Life,05 Apr 2023,PG,1h 23min,"Adventure, Drama, Family",French,N/A,N/A,6.1,411,"$162,363"
One Year Off,07 Feb 2023,PG-13,1h 40min,Comedy,"English, Russian",N/A,N/A,3.8,126,N/A
Boston Strangler,17 Mar 2023,R,1h 53min,"Crime, Drama, History",English,Nominated for 1 Primetime Emmy. 1 win & 7 nominations total,58,6.5,"35,556",N/A
A Stork's Journey 2,18 Jun 2024,PG,1h 24min,"Animation, Adventure, Family",English,N/A,N/A,5.1,345,N/A
Guy Ritchie's the Covenant,21 Apr 2023,R,2h 3min,"Action, Drama, Thriller","English, Dari",1 win & 3 nominations,63,7.5,"176,336","$16,938,039"
Organ Trail,12 May 2023,R,1h 52min,"Drama, Horror, Thriller",English,N/A,N/A,5.0,"1,680",N/A
Widow Clicquot,18 Jul 2024,R,1h 30min,Drama,English,N/A,N/A,6.3,"1,555","$1,023,984"
"Red, White & Royal Blue",11 Aug 2023,R,2h 1min,"Comedy, Romance",English,Nominated for 1 Primetime Emmy. 3 wins & 7 nominations total,61,6.9,"53,860",N/A
Flora and Son,29 Sep 2023,R,1h 37min,"Comedy, Music, Romance",English,3 wins & 8 nominations,76,7.0,"14,106",N/A
Sitting in Bars with Cake,08 Sep 2023,PG-13,1h 8min,"Comedy, Drama, Romance",English,1 win & 2 nominations,N/A,6.4,"3,289",N/A
Leave the World Behind,08 Dec 2023,R,2h 22min,"Drama, Mystery, Thriller",English,1 win & 11 nominations,N/A,6.4,"215,261",N/A
Animal,01 Dec 2023,R,3h 21min,"Action, Crime, Drama",Hindi,32 wins & 54 nominations,N/A,6.1,"99,554","$15,004,482"
Mixtape,01 Aug 2023,R,1h 26min,Documentary,English,N/A,N/A,N/A,122,N/A
Sharper,17 Feb 2023,R,1h 56min,"Crime, Drama, Thriller",English,1 win,65,6.7,"32,796",N/A
Tetris,31 Mar 2023,R,1h 58min,"Biography, Drama, History","English, Russian, Japanese, Hungarian",5 nominations,61,7.4,"89,490",N/A
On a Wing and a Prayer,07 Apr 2023,PG,1h 42min,Drama,English,N/A,19,5.5,"5,617",N/A
Monster,22 Nov 2023,PG-13,2h 7min,"Drama, Thriller","Japanese, English",10 wins & 42 nominations,80,7.8,"28,746","$434,585"
Perfect Days,21 Dec 2023,PG,2h 4min,Drama,"Japanese, English",Nominated for 1 Oscar. 8 wins & 37 nominations total,74,7.9,"62,885","$3,766,668"
The Teachers' Lounge,04 May 2023,PG-13,1h 38min,Drama,"German, Turkish, Polish, English",Nominated for 1 Oscar. 12 wins & 21 nominations total,N/A,7.4,"22,714","$628,218"
The Mattachine Family,04 Jun 2024,R,1h 40min,Drama,English,1 win & 3 nominations,N/A,6.0,349,N/A
The Pass,27 Aug 2023,PG-13,1h 40min,"Drama, Thriller",English,N/A,N/A,4.9,658,N/A
Hunger,06 Apr 2023,R,2h 25min,"Drama, Thriller",Thai,1 nomination,N/A,6.6,"18,330",N/A
Quiz Lady,03 Nov 2023,R,1h 39min,Comedy,English,Won 1 Primetime Emmy. 5 wins & 4 nominations total,N/A,6.7,"21,599",N/A
Invitation to a Murder,25 Apr 2023,PG-13,1h 33min,"Mystery, Thriller",English,N/A,N/A,5.1,"5,275",N/A
Napoleon,22 Nov 2023,R,2h 38min,"Action, Adventure, Biography","English, French, Russian, German, Italian",Nominated for 3 Oscars. 5 wins & 44 nominations total,N/A,6.4,"159,309","$61,524,375"
Chevalier,06 Apr 2023,PG-13,1h 48min,"Biography, Drama, History",English,1 win & 7 nominations,67,6.5,"7,288","$3,541,159"
Ambush,24 Feb 2023,R,1h 44min,"Action, Thriller, War",N/A,N/A,N/A,4.0,"1,738",N/A
Mavka: The Forest Song,15 Aug 2023,PG,1h 39min,"Animation, Adventure, Comedy",English,2 nominations,N/A,6.6,"6,212",N/A
"Are You There God? It's Me, Margaret.",28 Apr 2023,PG-13,1h 47min,"Comedy, Drama, Family","English, Hebrew",26 wins & 82 nominations,84,7.3,"30,399","$20,372,406"
The Bad Guys: A Very Bad Holiday,30 Nov 2023,G,25min,"Animation, Action, Adventure",English,1 nomination,N/A,5.1,"1,824",N/A
One Life,05 Aug 2024,PG,1h 49min,"Biography, Drama, History","English, German, Czech, French",3 wins,N/A,7.5,"27,821","$5,716,885"
Fair Play,06 Oct 2023,R,1h 53min,"Drama, Mystery, Thriller",English,11 nominations,76,6.4,"41,498",N/A
Abducted by My Teacher: The Elizabeth Thomas Story,12 Aug 2023,PG-13,1h 28min,"Crime, Drama",English,N/A,N/A,5.8,545,N/A
Barbie,21 Jul 2023,PG-13,1h 54min,"Adventure, Comedy, Fantasy","English, Spanish",Won 1 Oscar. 206 wins & 429 nominations total,80,6.8,"571,413","$636,238,421"
Bad Education,10 Mar 2023,R,1h 17min,"Crime, Thriller","Mandarin, Min Nan",3 wins & 14 nominations,N/A,6.3,377,N/A
Maybe I Do,27 Jan 2023,PG-13,1h 35min,"Comedy, Romance",English,N/A,42,5.0,"10,159","$1,293,722"
Bobi Wine: The People's President,06 Oct 2023,PG-13,1h 53min,Documentary,English,Nominated for 1 Oscar. 8 wins & 17 nominations total,N/A,7.1,"1,779","$30,189"
Merry Little Batman,08 Dec 2023,PG,1h 37min,"Animation, Comedy, Family",English,2 nominations,N/A,6.4,"3,964",N/A
Elevator Game,15 Sep 2023,R,1h 34min,"Horror, Thriller",English,N/A,N/A,4.2,"3,614",N/A
Downwind,23 Jan 2023,R,1h 36min,Documentary,English,8 wins & 2 nominations,N/A,7.0,224,N/A
One Ranger,05 May 2023,R,1h 35min,"Action, Thriller",English,N/A,N/A,4.9,"3,896",N/A
The Exorcist: Believer,06 Oct 2023,R,1h 51min,Horror,"English, Latin, Haitian, French",1 win & 22 nominations,N/A,4.8,"44,597","$65,537,395"
Shayda,05 Oct 2023,PG-13,1h 58min,Drama,"Persian, English",7 wins & 21 nominations,N/A,6.7,"1,003","$61,694"
The Inseparables,13 Dec 2023,G,1h 30min,"Animation, Adventure, Family",English,2 nominations,N/A,5.9,504,N/A
Transformers: Rise of the Beasts,09 Jun 2023,PG-13,2h 7min,"Action, Adventure, Sci-Fi","English, Spanish",1 win & 11 nominations,42,6.0,"111,785","$157,066,392"
South to Black Power,28 Nov 2023,PG,1h 29min,Documentary,English,N/A,N/A,4.8,218,N/A
Saint Drogo,11 Apr 2023,R,1h 18min,"Horror, Mystery",English,N/A,N/A,6.3,26,N/A
October Is Yours,04 Aug 2023,PG-13,1h 17min,Drama,English,N/A,N/A,N/A,N/A,N/A
Key to Love,01 Apr 2023,G,1h 30min,"Drama, Romance",English,N/A,N/A,5.7,274,N/A
Country Hearts Christmas,19 Nov 2023,G,1h 30min,Romance,English,N/A,N/A,5.4,119,N/A
Without Precedent: The Supreme Life of Rosalie Abella,01 May 2023,PG,1h 24min,Documentary,English,N/A,N/A,8.4,22,N/A
Puppy Bowl XIX,12 Feb 2023,G,2h 3min,Reality-TV,English,N/A,N/A,N/A,35,N/A
The Happy Camper,05 Feb 2023,G,1h 25min,"Comedy, Romance",N/A,1 nomination,N/A,6.0,273,N/A
Disney 100: Remember That,16 Jul 2023,G,36min,Family,N/A,N/A,N/A,N/A,13,N/A
For Better or Worse,20 Oct 2023,G,1h 27min,"Comedy, Romance",English,N/A,N/A,6.0,44,N/A
Mercy Land,25 Mar 2023,PG-13,1h 44min,"Action, Drama, Sci-Fi",English,9 wins,N/A,N/A,14,N/A
Come Fly with Me,15 Sep 2023,G,1h 24min,Romance,English,1 nomination,N/A,6.7,618,N/A
Trap House,09 Jun 2023,R,1h 22min,"Action, Horror, Thriller",English,N/A,N/A,4.4,226,N/A
Gwen Shamblin: Starving for Salvation,04 Feb 2023,PG-13,1h 28min,Drama,English,N/A,N/A,5.8,403,N/A
Something Good Coming,12 Aug 2022,PG-13,1h 38min,"Comedy, Drama, Romance",English,23 wins & 2 nominations,N/A,N/A,6,N/A
Experiment 81 a Vacant Space Films production,01 Jan 2023,PG-13,41min,"Short, Sci-Fi",English,N/A,N/A,N/A,N/A,N/A
Condor's Nest,27 Jan 2023,R,1h 43min,"Action, Drama, Thriller",English,N/A,N/A,4.3,"1,054",N/A
A Date with Deception,09 Feb 2023,PG-13,1h 28min,Thriller,English,N/A,N/A,4.6,142,N/A
Mary Mary,04 Jul 2023,PG,1h 33min,Drama,English,N/A,N/A,N/A,35,N/A
Locked Out,29 Apr 2023,PG-13,1h 27min,Documentary,English,N/A,N/A,N/A,N/A,N/A
King Charles: The Boy Who Walked Alone,02 May 2023,G,1h 26min,Documentary,N/A,N/A,N/A,3.9,126,N/A
A Winning Team,18 Mar 2023,G,1h 24min,"Comedy, Romance",English,1 nomination,N/A,5.7,525,N/A
Jinkx Monsoon: Red Head Redemption,16 May 2023,R,1h 12min,Comedy,English,N/A,N/A,6.9,172,N/A
Abused,13 Mar 2023,PG-13,48min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Shark Eat Shark,02 Jul 2023,PG,44min,Documentary,N/A,N/A,N/A,N/A,23,N/A
Naal 2,10 Nov 2023,PG,2h 10min,Drama,Marathi,N/A,N/A,9.0,85,N/A
Joe Zimmerman: Cult Classic,25 Sep 2023,PG-13,56min,Comedy,English,N/A,N/A,7.0,22,N/A
Gridman Universe,24 Mar 2023,PG-13,1h 58min,"Animation, Action, Adventure",Japanese,N/A,N/A,7.0,222,N/A
Single Shankarum Smartphone Simranum,24 Feb 2023,G,2h 8min,"Comedy, Drama, Sci-Fi",Tamil,N/A,N/A,4.6,280,N/A
Ms. Match,16 Jul 2023,PG-13,1h 25min,"Comedy, Romance","English, Japanese",1 nomination,N/A,5.5,173,N/A
10 Truths About Love,11 Feb 2022,G,1h 25min,"Comedy, Romance","English, Portuguese",N/A,N/A,6.0,622,N/A
An Audience with Kylie,05 Jun 2024,PG,57min,Music,English,Nominated for 1 BAFTA Award1 nomination total,N/A,7.6,81,N/A
Tiger 24,20 Jan 2023,PG-13,1h 30min,Documentary,English,4 wins & 3 nominations,N/A,7.3,468,N/A
Refuge,19 Apr 2024,R,1h 31min,Horror,English,N/A,N/A,4.1,292,N/A
R.A.D.A.R.: The Adventures of the Bionic Dog,27 Jun 2023,PG,1h 25min,"Adventure, Family",English,N/A,N/A,5.5,575,N/A
Kane,10 Nov 2023,R,1h 19min,"Crime, Drama, Thriller",English,N/A,N/A,3.9,281,N/A
Don't Tear Yourself Apart,01 Sep 2023,NC-17,1h 38min,Thriller,English,8 wins,N/A,6.9,49,N/A
Superfan: The Story of Vladimir,28 Oct 2023,PG,37min,Documentary,English,N/A,N/A,N/A,13,N/A
My Professor's Guide to Murder,01 Jul 2023,PG-13,1h 30min,Thriller,English,N/A,N/A,5.0,186,N/A
Carrot Cake Murder,19 May 2023,PG,1h 24min,"Crime, Mystery",N/A,N/A,N/A,N/A,N/A,N/A
Jagun Jagun,10 Aug 2023,R,2h 13min,"Drama, History",Yoruba,1 nomination,N/A,3.9,781,N/A
Contact: The CE-5 Experience,03 Jan 2023,PG-13,1h 16min,Documentary,English,N/A,N/A,6.7,75,N/A
Clock,28 Apr 2023,R,1h 31min,"Drama, Horror, Thriller",English,N/A,59,5.0,"6,302",N/A
Devilreaux,09 Jun 2023,R,1h 34min,"Horror, Thriller",N/A,N/A,N/A,2.6,306,N/A
Out of Exile,20 Jan 2023,R,1h 47min,"Crime, Drama, Thriller",English,N/A,N/A,5.0,763,N/A
The Abyss,16 Feb 2024,R,1h 44min,"Action, Drama, Thriller","Swedish, Saami, Finnish",1 win,N/A,5.3,"9,115",N/A
"Luxembourg, Luxembourg",13 Apr 2023,PG-13,1h 46min,Comedy,"Ukrainian, German",5 wins & 13 nominations,N/A,7.9,"4,222",N/A
War Pony,28 Jul 2023,R,1h 54min,"Crime, Drama","English, Sioux",10 wins & 11 nominations,69,6.8,"2,737",N/A
The Jewel Thief,13 Jul 2023,R,1h 40min,"Documentary, Crime, Mystery",English,2 nominations,N/A,6.5,930,N/A
The Unbreakable Bunch,13 Oct 2023,PG-13,1h 32min,Action,English,N/A,N/A,N/A,7,N/A
Vacation Friends 2,25 Aug 2023,R,1h 46min,"Action, Adventure, Comedy",English,N/A,N/A,5.4,"8,993",N/A
The Pigeon Tunnel,20 Oct 2023,PG-13,1h 32min,"Documentary, Biography",English,3 wins & 9 nominations,N/A,7.0,"1,811",N/A
A Harvest Homecoming,30 Sep 2023,G,1h 24min,Romance,English,N/A,N/A,6.4,411,N/A
Sailor Moon Cosmos,22 Aug 2024,R,1h 20min,"Animation, Action, Adventure",Japanese,N/A,N/A,7.3,692,N/A
Journey to Christmas,29 Oct 2023,G,1h 24min,"Drama, Family, Romance",English,N/A,N/A,6.7,469,N/A
Sirona,05 Sep 2023,PG-13,1h 40min,"Mystery, Sci-Fi",English,N/A,N/A,3.5,279,N/A
Zero to Hero,03 Apr 2024,R,1h 49min,"Comedy, Music, Romance",Portuguese,1 nomination,N/A,N/A,309,N/A
Breakwater,22 Dec 2023,R,1h 37min,"Crime, Drama, Mystery",English,N/A,N/A,5.2,"1,113",N/A
Khufiya,05 Oct 2023,R,2h 38min,"Action, Biography, Crime",Hindi,3 wins & 16 nominations,N/A,6.1,"7,753",N/A
The Swan,28 Sep 2023,PG,17min,"Short, Comedy, Drama",English,1 nomination,N/A,6.7,"20,950",N/A
Round and Round,10 Dec 2023,PG,1h 24min,"Comedy, Fantasy",English,2 wins & 4 nominations,N/A,7.1,"1,299",N/A
OOP Saga,17 Oct 2023,PG-13,1h 10min,Sci-Fi,Italian,N/A,N/A,N/A,20,N/A
King Charles III,24 Jul 2023,G,1h 15min,Documentary,English,N/A,N/A,N/A,11,N/A
Tribal,19 Dec 2023,PG-13,1h 25min,Documentary,English,N/A,N/A,7.9,76,N/A
An Unforgettable Year: Summer,02 Jun 2023,PG-13,1h 41min,Romance,Portuguese,N/A,N/A,5.3,237,N/A
Transmorphers: Mech Beasts,25 Aug 2023,PG-13,1h 24min,"Action, Sci-Fi",English,N/A,N/A,2.2,292,N/A
Beyond Utopia,28 Nov 2023,PG-13,1h 56min,"Documentary, Biography, History","English, Korean",Nominated for 1 Primetime Emmy. 7 wins & 46 nominations total,85,7.9,"4,105","$11,716"
Carajita,25 Nov 2021,R,1h 29min,Drama,Spanish,8 wins & 5 nominations,N/A,6.6,211,N/A
Return of the Dark,07 Jul 2023,PG-13,1h 10min,"Action, Adventure, Drama","English, Turkish, Latin",1 nomination,N/A,N/A,29,N/A
An Ice Palace Romance,14 Dec 2023,G,1h 24min,"Comedy, Romance",English,N/A,N/A,5.9,425,N/A
Birth/Rebirth,05 Sep 2023,R,1h 41min,"Drama, Horror, Thriller","English, Spanish",3 wins & 6 nominations,N/A,6.2,"7,060","$138,617"
Rules Ranjann,06 Oct 2023,G,2h 36min,Romance,Telugu,N/A,N/A,4.1,"1,336",N/A
Trevor Noah: Where Was I,19 Dec 2023,PG-13,1h 8min,"Documentary, Comedy",English,Nominated for 2 Primetime Emmys. 4 nominations total,N/A,6.7,"2,584",N/A
Street Flow 2,27 Sep 2023,R,1h 38min,"Crime, Drama",French,N/A,N/A,N/A,471,N/A
Ape vs. Mecha Ape,24 Mar 2023,PG-13,1h 20min,"Action, Fantasy, Horror",English,N/A,N/A,2.7,427,N/A
Ready Jet Go! Space Camp,20 Jul 2023,G,1h 25min,"Animation, Family",English,N/A,N/A,N/A,23,N/A
Carmen,14 Jun 2023,R,1h 57min,"Drama, Musical","English, Spanish",2 wins & 7 nominations,59,5.7,"1,265","$103,388"
The Cases of Mystery Lane: Death Is Listening,13 Sep 2024,PG,1h 24min,"Comedy, Mystery","English, Spanish, Sanskrit",N/A,N/A,6.8,403,N/A
The Archies,07 Dec 2023,PG-13,2h 21min,"Comedy, Drama, Musical","Hindi, English",12 wins & 20 nominations,N/A,4.3,"52,954",N/A
Unwelcome,14 Mar 2023,R,1h 44min,"Comedy, Horror",English,N/A,64,5.3,"6,560","$21,284"
Centurion: The Dancing Stallion,25 Apr 2023,PG,1h 38min,"Drama, Family",English,N/A,N/A,6.8,106,N/A
Aloha Heart,29 Jul 2023,G,1h 24min,"Comedy, Romance",English,N/A,N/A,5.6,667,N/A
LEGO Disney Princess: The Castle Quest,18 Aug 2023,G,47min,"Animation, Adventure, Comedy",English,N/A,N/A,5.8,547,N/A
The Have Not,21 Aug 2023,PG-13,1h 20min,Drama,English,N/A,N/A,N/A,N/A,N/A
Earth Mama,08 Dec 2023,R,1h 41min,Drama,English,Won 1 BAFTA Award7 wins & 13 nominations total,85,6.6,"1,105",N/A
Untold: Johnny Football,08 Aug 2023,R,1h 11min,"Documentary, Sport",English,N/A,N/A,6.9,"3,036",N/A
Bloodthirst,31 Oct 2023,R,1h 28min,"Action, Horror, Sci-Fi",English,N/A,N/A,3.7,"1,170",N/A
Longest Third Date,18 Apr 2023,R,1h 16min,Documentary,English,N/A,N/A,6.4,"1,497",N/A
A Thousand and One,31 Mar 2023,R,1h 57min,"Crime, Drama",English,10 wins & 52 nominations,81,7.0,"7,475","$3,400,020"
You People,27 Jan 2023,R,1h 57min,"Comedy, Romance",English,1 nomination,50,5.5,"64,427",N/A
The Engineer,18 Aug 2023,R,1h 33min,"Action, Thriller",English,1 win,N/A,4.2,"1,943",N/A
Jaane Jaan,21 Sep 2023,R,2h 19min,"Crime, Drama, Mystery",Hindi,12 wins & 24 nominations,N/A,7.0,"15,024",N/A
The Secret Gift of Christmas,15 Dec 2023,G,1h 24min,Romance,English,1 nomination,N/A,6.3,836,N/A
Book Club: The Next Chapter,12 May 2023,PG-13,1h 47min,"Comedy, Romance","English, Italian",2 wins,46,5.6,"7,647","$17,581,565"
Making It Up,09 Feb 2023,R,1h 21min,Comedy,Spanish,1 nomination,N/A,N/A,133,N/A
The Imaginary,05 Jul 2024,PG,1h 48min,"Animation, Adventure, Drama",Japanese,1 nomination,N/A,6.7,"1,520",N/A
The Boogeyman,02 Jun 2023,PG-13,1h 39min,"Horror, Mystery, Thriller",English,3 nominations,55,5.9,"47,360","$43,244,282"
The Expendables 4,22 Sep 2023,R,1h 43min,"Action, Adventure, Thriller","English, Arabic, Bulgarian, Vietnamese, Spanish, Thai",2 wins & 7 nominations,N/A,4.8,"45,678","$16,710,153"
